9.010472499998286
2.8970114000258036
         317214 function calls (312951 primitive calls) in 15.372 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      553    0.006    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      574    0.005    0.000    0.005    0.000 {method 'endswith' of 'str' objects}
      409    0.005    0.000    0.005    0.000 sre_parse.py:111(__init__)
       48    0.005    0.000    0.029    0.001 typing.py:656(__init__)
      508    0.005    0.000    0.005    0.000 {method 'get' of 'mappingproxy' objects}
      522    0.005    0.000    0.005    0.000 {method 'find' of 'bytearray' objects}
      165    0.005    0.000    0.017    0.000 sre_compile.py:423(_simple)
      531    0.005    0.000    0.005    0.000 {built-in method builtins.ord}
       99    0.005    0.000    0.012    0.000 sre_parse.py:84(opengroup)
       60    0.005    0.000    0.009    0.000 registers.py:138(__init__)
      133    0.005    0.000    0.008    0.000 sre_parse.py:355(_escape)
      344    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap>:725(find_spec)
      257    0.005    0.000    0.007    0.000 encoder.py:107(<genexpr>)
      274    0.004    0.000    0.013    0.000 {method 'update' of 'dict' objects}
      456    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
        1    0.004    0.004    0.012    0.012 six.py:21(<module>)
      347    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:342(__init__)
       38    0.004    0.000    6.595    0.174 __init__.py:1(<module>)
    82/56    0.004    0.000    0.007    0.000 sre_compile.py:461(_get_literal_prefix)
      364    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:143(__init__)
      256    0.004    0.000    0.004    0.000 binary.py:4(int_to_bin)
      352    0.004    0.000    0.004    0.000 py3compat.py:30(int2byte)
      376    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1400(<genexpr>)
      388    0.004    0.000    0.004    0.000 {method '__contains__' of 'frozenset' objects}
       12    0.004    0.000    0.007    0.001 datetime.py:488(__new__)
        4    0.004    0.001    0.004    0.001 {built-in method posix.fork}
       60    0.004    0.000    0.407    0.007 sre_parse.py:937(parse)
      388    0.004    0.000    0.004    0.000 {built-in method sys.intern}
      418    0.004    0.000    0.004    0.000 {method 'isidentifier' of 'str' objects}
      388    0.004    0.000    0.004    0.000 __init__.py:385(<genexpr>)
      298    0.004    0.000    0.004    0.000 <frozen importlib._bootstrap>:35(_new_module)
        1    0.004    0.004    0.011    0.011 io_controller.py:29(test_csv)
   109/24    0.003    0.000    2.445    0.102 {built-in method builtins.__import__}
      149    0.003    0.000    0.155    0.001 enum.py:278(__call__)
      298    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:964(get_filename)
      335    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap>:397(has_location)
      107    0.003    0.000    0.012    0.000 re.py:186(match)
      321    0.003    0.000    0.003    0.000 {built-in method _imp.is_frozen}
       70    0.003    0.000    0.005    0.000 config.py:7(__init__)
       97    0.003    0.000    0.008    0.000 hex.py:6(<genexpr>)
      298    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:939(__init__)
      298    0.003    0.000    0.003    0.000 {built-in method _imp._fix_co_filename}
       40    0.003    0.000    0.005    0.000 __init__.py:1323(_fixupParents)
        1    0.003    0.003    0.006    0.006 __init__.py:17(<setcomp>)
        1    0.003    0.003    0.014    0.014 hex.py:1(<module>)
      250    0.003    0.000    0.003    0.000 {method 'format' of 'str' objects}
        1    0.003    0.003    0.007    0.007 tube.py:27(tube)
      298    0.003    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:774(create_module)
        1    0.003    0.003    0.006    0.006 callframe.py:9(<module>)
       43    0.003    0.000    0.014    0.000 __init__.py:1272(getLogger)
      245    0.003    0.000    0.003    0.000 {method 'split' of 'str' objects}
      257    0.003    0.000    0.003    0.000 hex.py:5(<genexpr>)
       76    0.003    0.000    0.005    0.000 signal.py:10(<lambda>)
       60    0.003    0.000    0.008    0.000 enum.py:828(__and__)
       78    0.003    0.000    0.005    0.000 sre_parse.py:295(_class_escape)
       47    0.003    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1394(__init__)
      122    0.003    0.000    0.004    0.000 types.py:171(__get__)
       96    0.002    0.000    0.003    0.000 py3compat.py:42(bytes2str)
      122    0.002    0.000    0.003    0.000 ssl.py:129(<lambda>)
        1    0.002    0.002    0.012    0.012 encoder.py:2(<module>)
      225    0.002    0.000    0.002    0.000 functools.py:63(wraps)
       60    0.002    0.000    0.222    0.004 sre_compile.py:598(_code)
     26/1    0.002    0.000    0.006    0.006 keymap.py:61(register)
      122    0.002    0.000    0.003    0.000 ssl.py:139(<lambda>)
      122    0.002    0.000    0.004    0.000 ssl.py:124(<lambda>)
       30    0.002    0.000    0.004    0.000 sre_parse.py:267(getuntil)
       47    0.002    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
      120    0.002    0.000    0.003    0.000 sre_compile.py:595(isstring)
      122    0.002    0.000    0.003    0.000 ssl.py:144(<lambda>)
       16    0.002    0.000    0.004    0.000 {method 'sort' of 'list' objects}
      122    0.002    0.000    0.003    0.000 ssl.py:149(<lambda>)
