multi-process
fuzzer-multi-pls-bro
         1675627 function calls (1390308 primitive calls) in 52.588 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.001    0.001 {built-in method posix.read}
        6    0.001    0.000    0.001    0.000 posixpath.py:334(normpath)
        1    0.001    0.001    0.006    0.006 config.py:1(<module>)
       77    0.001    0.000    0.001    0.000 enum.py:192(<genexpr>)
       20    0.001    0.000    0.006    0.000 __init__.py:558(quietfunc)
        4    0.001    0.000    0.006    0.002 popen_fork.py:66(_launch)
      105    0.001    0.000    0.001    0.000 typing.py:666(<genexpr>)
        4    0.001    0.000   23.581    5.895 threading.py:540(wait)
        1    0.001    0.001    0.002    0.002 _pslinux.py:569(per_cpu_times)
       36    0.001    0.000    0.002    0.000 config.py:76(__init__)
       97    0.001    0.000    0.001    0.000 {built-in method _sre.unicode_tolower}
       50    0.001    0.000    0.001    0.000 posixpath.py:41(_get_sep)
       10    0.001    0.000    0.004    0.000 text.py:90(__getattr__)
       79    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
        8    0.001    0.000    0.001    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       60    0.001    0.000    0.001    0.000 registers.py:146(<dictcomp>)
       60    0.001    0.000    0.001    0.000 misc.py:436(<listcomp>)
        3    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
       85    0.001    0.000    0.001    0.000 _compat_pickle.py:167(<genexpr>)
       17    0.001    0.000    0.001    0.000 sre_compile.py:432(_generate_overlap_table)
       76    0.001    0.000    0.001    0.000 {method 'setdefault' of 'dict' objects}
       32    0.001    0.000    0.001    0.000 packing.py:296(make_single)
        6    0.001    0.000    0.005    0.001 tempfile.py:286(<listcomp>)
       75    0.001    0.000    0.001    0.000 {method 'release' of '_thread.RLock' objects}
       65    0.001    0.000    0.001    0.000 {method 'setter' of 'property' objects}
       36    0.001    0.000    0.003    0.000 _collections_abc.py:664(__contains__)
        1    0.001    0.001    0.015    0.015 pool.py:311(_repopulate_pool_static)
        1    0.001    0.001    0.001    0.001 registers.py:100(<dictcomp>)
       60    0.001    0.000    0.001    0.000 {built-in method builtins.divmod}
       35    0.001    0.000    0.001    0.000 datetime.py:379(_check_int_field)
        4    0.001    0.000    0.012    0.003 process.py:110(start)
       75    0.001    0.000    0.001    0.000 {method 'acquire' of '_thread.RLock' objects}
       69    0.001    0.000    0.001    0.000 key.py:103(__hash__)
