multi-process
multiprocess: 41.77098410000326
         908427 function calls (763618 primitive calls) in 44.810 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001    0.040    0.040 typing.py:1(<module>)
        2    0.001    0.001    0.177    0.088 __init__.py:7(<module>)
       67    0.001    0.000    0.002    0.000 __init__.py:214(_acquireLock)
       41    0.001    0.000    0.003    0.000 __init__.py:1392(__init__)
       60    0.001    0.000    0.002    0.000 sre_parse.py:921(fix_flags)
      134    0.001    0.000    0.001    0.000 six.py:88(__init__)
        1    0.001    0.001    0.013    0.013 pickle.py:197(<listcomp>)
        2    0.001    0.001    0.002    0.001 __init__.py:1360(_clear_cache)
        1    0.001    0.001    0.122    0.122 adb.py:1(<module>)
       48    0.001    0.000    0.002    0.000 re.py:268(escape)
        7    0.001    0.000    0.002    0.000 _parser.py:315(_convert)
      136    0.001    0.000    0.001    0.000 {method 'rfind' of 'str' objects}
       55    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
       38    0.001    0.000    0.010    0.000 adb.py:129(with_device)
       30    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:872(_resolve_name)
        1    0.001    0.001    0.015    0.015 encoder.py:1(<module>)
      131    0.001    0.000    0.001    0.000 {built-in method builtins.locals}
      120    0.001    0.000    0.001    0.000 {method 'index' of 'list' objects}
       35    0.001    0.000    0.002    0.000 os.py:798(fsencode)
      121    0.001    0.000    0.001    0.000 sre_compile.py:453(_get_iscased)
       30    0.001    0.000    2.122    0.071 <frozen importlib._bootstrap>:1002(_gcd_import)
       23    0.001    0.000    0.002    0.000 posixpath.py:71(join)
        8    0.001    0.000    0.003    0.000 __init__.py:284(__init__)
        2    0.001    0.001    0.001    0.001 {method 'isatty' of '_io.TextIOWrapper' objects}
      110    0.001    0.000    0.001    0.000 {built-in method builtins.globals}
       60    0.001    0.000    0.562    0.009 re.py:248(compile)
       26    0.001    0.000    0.001    0.000 __init__.py:158(_validator)
